model_id,conflict_type_idx,stage,n,mean_position_t,fraction_new_side,mean_log_offaxis_ratio,mean_offaxis_fraction,mean_oriented_position
Qwen/Qwen3.5-4B,1,early_00_09,100,0.4267481106154177,0.48,0.8159085916584994,0.9314242819756713,0.5838755326279315
Qwen/Qwen3.5-4B,1,late_22_31,100,0.4509759834742836,0.43,0.7487635024705023,0.9286720413601239,0.5206826650035988
Qwen/Qwen3.5-4B,1,middle_10_21,100,0.4674535820591395,0.45,0.764939693973094,0.9516633395273609,0.5427220042372011
Qwen/Qwen3.5-4B,2,early_00_09,100,0.5077305559870758,0.5,0.9199928714953767,0.9450762688337113,0.5421511710854356
Qwen/Qwen3.5-4B,2,late_22_31,100,0.44246464864542767,0.43,1.0390496279652723,0.9500564096651627,0.6013988378764547
Qwen/Qwen3.5-4B,2,middle_10_21,100,0.4508579640769223,0.44,0.8573979715001029,0.9460490611721605,0.5347868867029918
Qwen/Qwen3.5-4B,3,early_00_09,100,0.39709956149789916,0.26,0.7229703541099093,0.9529092264320919,0.5895841484556723
Qwen/Qwen3.5-4B,3,late_22_31,100,0.30495105424087693,0.23,0.5491076038807104,0.8440200711362599,0.6276680734134596
Qwen/Qwen3.5-4B,3,middle_10_21,100,0.2978071880281021,0.19,0.5892313643758936,0.8964975108411977,0.6488480267030854
Qwen/Qwen3.5-4B,4,early_00_09,100,0.3647893390370311,0.26,0.9040612555192734,0.9604576665538349,0.5434901396987013
Qwen/Qwen3.5-4B,4,late_22_31,100,0.2789495292574761,0.26,0.8358429406365268,0.9116205336268816,0.6878850344226769
Qwen/Qwen3.5-4B,4,middle_10_21,100,0.2908479409895322,0.18,0.7874341537029466,0.9393167291894354,0.5856198927696501
Qwen/Qwen3.5-4B,5,early_00_09,100,0.44424890858918603,0.37,0.5963881985535311,0.8840557821460936,0.5203942516261794
Qwen/Qwen3.5-4B,5,late_22_31,100,0.4385884053978287,0.38,0.6084165506203676,0.8691371924637457,0.4415801995318748
Qwen/Qwen3.5-4B,5,middle_10_21,100,0.43854715719004317,0.42,0.47581486004820917,0.8718759314467149,0.48565958850357954
Qwen/Qwen3.5-4B,6,early_00_09,100,0.3685189967798621,0.31,0.5849038336952809,0.9092254927381614,0.5803240526643909
Qwen/Qwen3.5-4B,6,late_22_31,100,0.4828659948605305,0.39,0.570269599837722,0.8662818435014354,0.6715938882689645
Qwen/Qwen3.5-4B,6,middle_10_21,100,0.354028672873302,0.29,0.5595931606736906,0.8895221066720311,0.5715995556619587
Qwen/Qwen3.5-4B,7,early_00_09,100,0.45388674336042,0.46,0.7414439286543443,0.959493923795444,0.5140460861582562
Qwen/Qwen3.5-4B,7,late_22_31,100,0.6450667925683891,0.67,0.5325346354716273,0.8782188460340901,0.4522805965385671
Qwen/Qwen3.5-4B,7,middle_10_21,100,0.6027233782295306,0.65,0.5653270673074288,0.9357923184802192,0.4790785219236276
Qwen/Qwen3.5-4B,8,early_00_09,94,0.5646124808643395,0.5425531914893617,0.7190129987372504,0.9148316818538735,0.5613044917352159
Qwen/Qwen3.5-4B,8,late_22_31,94,0.6842201253079911,0.6702127659574468,0.5805461695699888,0.8728077342929026,0.5980468142265091
Qwen/Qwen3.5-4B,8,middle_10_21,94,0.5924681278620529,0.5638297872340425,0.6198350764504322,0.9081175192592102,0.5684823550743513
Qwen/Qwen3.5-4B,9,early_00_09,70,0.38043328703559404,0.21428571428571427,0.6466431032641212,0.9581314999167757,0.3939932414458103
Qwen/Qwen3.5-4B,9,late_22_31,70,0.39026523197845403,0.3,0.45414431461638594,0.8627601080902549,0.39514128326556325
Qwen/Qwen3.5-4B,9,middle_10_21,70,0.3762095256391503,0.2857142857142857,0.5271102170515926,0.9238535965068037,0.38667280816548455
Qwen/Qwen3.5-9B,1,early_00_09,100,0.39512688660586925,0.45,0.8072993081753411,0.9273064545233882,0.5858074135670082
Qwen/Qwen3.5-9B,1,late_22_31,100,0.5629758527911961,0.57,0.7959690056130745,0.9437283809340699,0.4335383784935699
Qwen/Qwen3.5-9B,1,middle_10_21,100,0.5433062731794672,0.63,0.7740719619565641,0.9546225359027973,0.497215462504462
Qwen/Qwen3.5-9B,2,early_00_09,100,0.5006719753988851,0.44,0.8909638389714003,0.9447775292736411,0.4883735129408421
Qwen/Qwen3.5-9B,2,late_22_31,100,0.5169785743750386,0.42,1.0558919778498452,0.9648620031658207,0.5342114300866492
Qwen/Qwen3.5-9B,2,middle_10_21,100,0.49395647860774766,0.48,0.8267272215306275,0.9578697376049325,0.5406843306917162
Qwen/Qwen3.5-9B,3,early_00_09,100,0.3756831390551331,0.27,0.7058834512341834,0.9561859722003034,0.6061942625052327
Qwen/Qwen3.5-9B,3,late_22_31,100,0.4395682616245469,0.43,0.5893042370352984,0.8771128676489097,0.5323526626999453
Qwen/Qwen3.5-9B,3,middle_10_21,100,0.522247737834538,0.52,0.6039986758821101,0.9433186810439176,0.4631165024473871
Qwen/Qwen3.5-9B,4,early_00_09,100,0.37541010744488007,0.28,0.8806185470081289,0.9638976549097102,0.5687851655734806
Qwen/Qwen3.5-9B,4,late_22_31,100,0.3763878014453349,0.34,0.9944315343221283,0.9429706527723082,0.7222634446474646
Qwen/Qwen3.5-9B,4,middle_10_21,100,0.3845010664789912,0.26,0.8136589569040089,0.9697221720703179,0.5815253367033718
Qwen/Qwen3.5-9B,5,early_00_09,100,0.46333524860984143,0.44,0.6343370163743706,0.8803276755954479,0.4953125211024077
Qwen/Qwen3.5-9B,5,late_22_31,100,0.4843236487276467,0.42,0.6537177829185481,0.8933883747373421,0.44217135111653344
Qwen/Qwen3.5-9B,5,middle_10_21,100,0.4778786742475421,0.43,0.46483476771437354,0.8738300545923146,0.46316117444183325
Qwen/Qwen3.5-9B,6,early_00_09,100,0.3713302415431267,0.35,0.5824747272418356,0.9007281510849959,0.5360172532660359
Qwen/Qwen3.5-9B,6,late_22_31,100,0.43603786465033173,0.35,0.580477993771362,0.8920444309613632,0.6394261954458036
Qwen/Qwen3.5-9B,6,middle_10_21,100,0.38675906144273303,0.31,0.5365967377357288,0.9098354661702637,0.5657891306281179
Qwen/Qwen3.5-9B,7,early_00_09,100,0.46043120354577716,0.46,0.7479150559960233,0.9538412236010833,0.5277111387904898
Qwen/Qwen3.5-9B,7,late_22_31,100,0.6888603475708792,0.78,0.5853038084402286,0.8922426529485414,0.501794611722942
Qwen/Qwen3.5-9B,7,middle_10_21,100,0.6724084308743277,0.78,0.5610165986395783,0.9072854097953906,0.5056644596607657
Qwen/Qwen3.5-9B,8,early_00_09,94,0.6121911475219173,0.648936170212766,0.6794549072540953,0.9150504199890687,0.6125734932254515
Qwen/Qwen3.5-9B,8,late_22_31,94,0.673054403815278,0.648936170212766,0.6591217524595994,0.906768391144993,0.6013119355682245
Qwen/Qwen3.5-9B,8,middle_10_21,94,0.6224715953562425,0.648936170212766,0.6280696374964657,0.9226451635439795,0.5917090071067361
Qwen/Qwen3.5-9B,9,early_00_09,70,0.4228460330184185,0.2857142857142857,0.6022775667779574,0.9555487160759717,0.4351483221605572
Qwen/Qwen3.5-9B,9,late_22_31,70,0.3804486133029777,0.24285714285714285,0.4721250358006878,0.85365597314498,0.362540383376165
Qwen/Qwen3.5-9B,9,middle_10_21,70,0.3153300827611322,0.14285714285714285,0.4686414185449069,0.8859598424701544,0.32301121340508737
