conflict_type_idx,layer,n,mean_cosine_delta,frac_cosine_new,mean_centered_cosine_delta,frac_centered_cosine_new,mean_projection,frac_projection_new
5,27,100,-0.009067459610731441,0.37,-0.017808913937776623,0.39,-0.7131111937646126,0.36
5,28,100,-0.008149745646904532,0.37,-0.017634454172422372,0.39,-0.7895188137168921,0.36
5,29,100,-0.008804088870303041,0.38,-0.018552104886116624,0.38,-0.9200524327745494,0.37
5,30,100,-0.009065324322278221,0.37,-0.0187816780904741,0.37,-1.1332840632636065,0.38
5,31,100,-0.010853360409480293,0.37,-0.018027328001386705,0.35,-4.338673437496086,0.37
6,0,100,-6.254790331491677e-05,0.4,-0.048532842011413765,0.43,-0.005325381851219699,0.39
6,1,100,-0.00016096969487843892,0.35,-0.02925144149163483,0.37,-0.008881467234133746,0.35
6,2,100,-0.00036805531383011234,0.39,-0.025051475291930404,0.39,-0.011574464428570953,0.38
6,3,100,-0.0015533670325761628,0.24,-0.03375444526882318,0.27,-0.05758770296918196,0.24
6,4,100,-0.002157865196301,0.33,-0.03375001926427333,0.31,-0.07709062343831727,0.32
6,5,100,-0.001739400712529794,0.33,-0.03498662066871111,0.32,-0.07561024260051219,0.32
6,6,100,-0.0016937951155311392,0.31,-0.03528826245914013,0.31,-0.06950781855518613,0.31
6,7,100,-0.0030629272999077627,0.25,-0.03600956684658528,0.28,-0.1262722767221667,0.27
6,8,100,-0.0034858832788862803,0.24,-0.038650478237176884,0.24,-0.13546673080587068,0.23
6,9,100,-0.00333363593312587,0.25,-0.03994241925187916,0.26,-0.1397338741123989,0.24
6,10,100,-0.002986024609702067,0.23,-0.04113431537726128,0.24,-0.13803951151492733,0.22
6,11,100,-0.006203783143586447,0.23,-0.04677087559546275,0.23,-0.25714089466738166,0.23
6,12,100,-0.006726387956217646,0.24,-0.04532988871312668,0.26,-0.2715721947392641,0.23
6,13,100,-0.0069592564255210425,0.23,-0.0453906512038829,0.24,-0.2709742774995256,0.23
6,14,100,-0.006488332021270871,0.24,-0.04712821872831957,0.25,-0.26834851500152895,0.25
6,15,100,-0.009032638970678415,0.25,-0.04191601741732491,0.26,-0.34698404025333657,0.25
6,16,100,-0.00908751342385877,0.28,-0.037017310013432045,0.28,-0.34718230489605356,0.28
6,17,100,-0.009789622341561702,0.29,-0.036120227232969614,0.32,-0.35137014387766413,0.29
6,18,100,-0.00981827900452274,0.33,-0.036708298432500806,0.34,-0.3861957137326148,0.32
6,19,100,-0.009833310534676103,0.39,-0.02629590161437003,0.41,-0.4227212491489319,0.38
6,20,100,-0.006366322640386052,0.4,-0.01661199411226084,0.41,-0.32977392699410557,0.4
6,21,100,-0.005550998957869366,0.42,-0.011095686826156848,0.42,-0.301701088767657,0.41
6,22,100,-0.010822022912537328,0.43,-0.01878434885960987,0.42,-0.4744350666890091,0.43
6,23,100,-0.010527841949818722,0.42,-0.01522155811665589,0.43,-0.5211065199928564,0.42
6,24,100,-0.013540229132306474,0.42,-0.01888408118107303,0.42,-0.6397893643595559,0.42
6,25,100,-0.01465378950886766,0.41,-0.019905627074649105,0.42,-0.7319641328874991,0.41
6,26,100,-0.01324808271616987,0.38,-0.019410604981780405,0.43,-0.7425824432965357,0.4
6,27,100,-0.01281490576421783,0.43,-0.017814890869042855,0.43,-0.7327055902159194,0.41
6,28,100,-0.01198177559199529,0.41,-0.018119466555859116,0.4,-0.6745136223897326,0.4
6,29,100,-0.012602450643547352,0.4,-0.01911827380247461,0.39,-0.6806528792192431,0.39
6,30,100,-0.014047932751885057,0.41,-0.023175944742385664,0.42,-0.6058914631920745,0.41
6,31,100,-0.006115744599074118,0.43,-0.009784736810551965,0.4,-1.5190250794423144,0.43
7,0,100,-3.7815677099151124e-06,0.43,-0.0056189187491003075,0.47,-0.0008500441887240288,0.43
7,1,100,4.659139288387681e-06,0.5,0.000643491964839169,0.5,-0.0005195364641307347,0.53
7,2,100,4.160182468570528e-05,0.53,0.004973207240143804,0.52,0.0016449503089471893,0.54
7,3,100,-0.00027229673737327767,0.36,-0.004889730252114076,0.37,-0.018396459478035674,0.37
7,4,100,-0.0002680422142349392,0.43,-0.004490975777112511,0.4,-0.02293245630185931,0.44
7,5,100,-0.0002524581855620145,0.42,-0.005132754382542887,0.39,-0.024843359421046412,0.43
7,6,100,-0.00012112740403686151,0.44,-0.002897290321971087,0.45,-0.012988710867184344,0.46
7,7,100,-2.0124882122202204e-05,0.36,-0.00018853806968065047,0.36,-0.010878718967250664,0.36
7,8,100,-1.963757265525112e-06,0.39,0.00017776777368935903,0.39,-0.009976535447284171,0.39
7,9,100,0.00022387340001760127,0.48,0.003126518142345576,0.46,0.004533916972040198,0.47
7,10,100,0.00043486344575671796,0.55,0.00651875909810453,0.55,0.026579640039516062,0.56
7,11,100,4.540727361620145e-05,0.49,0.0006758792058004037,0.5,0.00839155833055013,0.49
7,12,100,0.0006235811188453077,0.58,0.005049994326612923,0.58,0.04561712451933113,0.59
7,13,100,0.0008850493131816572,0.59,0.006898796563935934,0.61,0.06832570184481304,0.59
7,14,100,0.001163323025657801,0.67,0.009985835015867868,0.64,0.09951229306818359,0.68
7,15,100,0.002193033703709393,0.63,0.009045615106422142,0.62,0.11491274585036054,0.63
7,16,100,0.007012788653916878,0.6,0.025714522761682238,0.6,0.22870822258003462,0.6
7,17,100,0.013963400404377806,0.68,0.049488405991549474,0.7,0.4251972306940678,0.67
7,18,100,0.0185252580844894,0.73,0.06934866984815174,0.75,0.6285475424418447,0.73
7,19,100,0.01761023920635579,0.68,0.04341990865628037,0.68,0.7037625404405808,0.69
7,20,100,0.022988510685678542,0.7,0.053432151120022774,0.71,0.9378408904854385,0.7
7,21,100,0.027960587222366783,0.69,0.06054758422823623,0.69,1.1547465689175138,0.68
7,22,100,0.02641531085361086,0.68,0.05964302342219008,0.69,1.3192808770210596,0.69
7,23,100,0.029442602609971814,0.68,0.05714357852503985,0.68,1.4312214772890033,0.67
7,24,100,0.03137955210721005,0.68,0.059549287355000875,0.68,1.6487757595091614,0.67
7,25,100,0.03272485056113481,0.67,0.062215536261851744,0.67,1.8606866148177224,0.67
7,26,100,0.027872603017503925,0.68,0.062760254211636,0.69,2.0365798113862548,0.68
7,27,100,0.03353793746480599,0.64,0.05930383899382839,0.65,2.1022156190469814,0.64
7,28,100,0.031811689888366634,0.66,0.06014442500204912,0.66,2.4524367933171884,0.65
7,29,100,0.03401816949086997,0.67,0.06083058421428371,0.68,2.7677806183314577,0.65
7,30,100,0.0344571482219659,0.69,0.0620443692273262,0.7,3.2401667828569525,0.68
7,31,100,0.038904125947545436,0.65,0.06315041261847126,0.66,10.922342953006407,0.66
8,0,94,3.342581054508559e-05,0.723404255319149,0.02647263293399286,0.7553191489361702,0.005551102341055678,0.7340425531914894
8,1,94,6.188006489783649e-05,0.7127659574468085,0.014291406177445704,0.7127659574468085,0.008138581205984303,0.7021276595744681
8,2,94,0.00022341505120438573,0.7446808510638298,0.02018510705463372,0.7978723404255319,0.015748192196392112,0.7553191489361702
8,3,94,8.24459077457788e-05,0.5319148936170213,0.0024527935758090354,0.5425531914893617,0.009618627560396631,0.5531914893617021
8,4,94,-0.00015189364908009924,0.425531914893617,-0.0015447331391608345,0.425531914893617,-0.005516622270608754,0.425531914893617
8,5,94,-0.00022006966157723392,0.425531914893617,-0.0036111682434927005,0.43617021276595747,-0.011220164073385663,0.43617021276595747
8,6,94,-4.2950180417788504e-05,0.5212765957446809,8.33017533448512e-05,0.5,0.0027486146158963738,0.5106382978723404
8,7,94,-0.0003263367845112743,0.44680851063829785,-0.004775857611331949,0.425531914893617,-0.020866862488243234,0.43617021276595747
8,8,94,-0.00035039121909396473,0.44680851063829785,-0.004948871604318913,0.44680851063829785,-0.020483516780762462,0.44680851063829785
8,9,94,-0.00020998912915825172,0.43617021276595747,-0.003558529266576556,0.425531914893617,-0.009622603451638354,0.43617021276595747
8,10,94,0.00011274191194949831,0.46808510638297873,0.0004309762299155123,0.48936170212765956,0.017060113237545367,0.46808510638297873
8,11,94,-0.00048158813156902843,0.43617021276595747,-0.004353603142347485,0.425531914893617,-0.02097961419383837,0.44680851063829785
8,12,94,-0.00022611215667707728,0.48936170212765956,-0.0023473929316171534,0.46808510638297873,0.0017615002770487666,0.5106382978723404
8,13,94,0.00030020254301078294,0.5425531914893617,0.0007317841529770496,0.5425531914893617,0.04314760470152047,0.574468085106383
8,14,94,0.00035969789224842805,0.5531914893617021,0.0010525612204649103,0.5638297872340425,0.05022358644855048,0.5531914893617021
8,15,94,-0.0004372887986500801,0.48936170212765956,-0.003701283770038581,0.48936170212765956,0.00016057755670303395,0.48936170212765956
8,16,94,0.0006457294816087414,0.5531914893617021,0.0008048942946393465,0.5425531914893617,0.06087952357912853,0.5425531914893617
8,17,94,0.0033537808088777744,0.5851063829787234,0.01024437966516208,0.5851063829787234,0.17891023859690044,0.5851063829787234
8,18,94,0.006504708256639101,0.6914893617021277,0.0225156525837656,0.6702127659574468,0.3567565731792389,0.7127659574468085
8,19,94,0.010217632680960487,0.6382978723404256,0.02452337189214122,0.5957446808510638,0.5088257363300744,0.6382978723404256
8,20,94,0.0110016139495151,0.6595744680851063,0.024887333715902116,0.648936170212766,0.6168453759776971,0.6702127659574468
8,21,94,0.012098952931412943,0.6382978723404256,0.025536741709179925,0.6276595744680851,0.7237552725566292,0.648936170212766
8,22,94,0.011683944442235483,0.6595744680851063,0.02738718996677815,0.648936170212766,0.8673825659875646,0.6595744680851063
8,23,94,0.014287010694609047,0.6382978723404256,0.027582122942911576,0.648936170212766,0.9784602906283324,0.648936170212766
8,24,94,0.014873611150482129,0.6808510638297872,0.02816714734003404,0.6595744680851063,1.0973264664904587,0.6702127659574468
8,25,94,0.014485032513337834,0.6808510638297872,0.027990937764192612,0.6702127659574468,1.1681979090670744,0.6914893617021277
8,26,94,0.011029423521905429,0.6595744680851063,0.02913228439240565,0.648936170212766,1.2827184758464183,0.6595744680851063
8,27,94,0.014257832231551233,0.6702127659574468,0.027187559887000202,0.6808510638297872,1.3906940879049983,0.6702127659574468
8,28,94,0.012956894283868788,0.6808510638297872,0.025712921321516053,0.6808510638297872,1.551273198960796,0.6702127659574468
8,29,94,0.013435212247633313,0.6808510638297872,0.02492294392578992,0.6914893617021277,1.677468360633692,0.6702127659574468
8,30,94,0.01297019025267948,0.7021276595744681,0.023759218612550047,0.7127659574468085,1.9533923230843704,0.6914893617021277
8,31,94,0.014897852704430696,0.7021276595744681,0.02366248610675572,0.6914893617021277,6.901694492169206,0.7021276595744681
9,0,70,1.6676165744125956e-06,0.4857142857142857,0.00421068764699197,0.4857142857142857,5.005417898661796e-05,0.4714285714285714
9,1,70,-8.212920920312529e-06,0.5857142857142857,0.002716188391214729,0.5571428571428572,-0.0005316595278664124,0.5714285714285714
9,2,70,3.462620523159313e-05,0.6428571428571429,0.008600101029323022,0.6571428571428571,0.003300759932367732,0.6571428571428571
9,3,70,-0.0008191851592485605,0.2571428571428571,-0.012190405347962304,0.24285714285714285,-0.03456817780851278,0.2571428571428571
9,4,70,-0.0013464509654301778,0.2,-0.01886168484493649,0.21428571428571427,-0.0745045938874579,0.2
9,5,70,-0.0011255612916639631,0.21428571428571427,-0.019959492508121807,0.24285714285714285,-0.07159212674335892,0.22857142857142856
9,6,70,-0.000871674407684748,0.22857142857142856,-0.013651630263430884,0.3,-0.04905448316181554,0.2714285714285714
9,7,70,-0.0017178801525322125,0.12857142857142856,-0.01951436382368021,0.12857142857142856,-0.11644381742525778,0.12857142857142856
9,8,70,-0.0017624572515892477,0.14285714285714285,-0.018107834058589744,0.17142857142857143,-0.11250158593952232,0.14285714285714285
9,9,70,-0.001429549770468814,0.2,-0.015141400105464697,0.22857142857142856,-0.09365412087097512,0.21428571428571427
9,10,70,-0.0008928676115848307,0.2714285714285714,-0.009962298759372238,0.2714285714285714,-0.06255946151779096,0.2857142857142857
9,11,70,-0.0015397263271198375,0.15714285714285714,-0.01157277274464794,0.17142857142857143,-0.12210601667505025,0.18571428571428572
9,12,70,-0.001541502934740061,0.21428571428571427,-0.011065790155317284,0.18571428571428572,-0.12225459275580348,0.21428571428571427
9,13,70,-0.0008798966200314634,0.3142857142857143,-0.006572309745353538,0.3142857142857143,-0.07306142846027294,0.32857142857142857
9,14,70,-0.0006590890173055903,0.37142857142857144,-0.0057984668604242565,0.34285714285714286,-0.05599186244803429,0.37142857142857144
9,15,70,-0.0021147453392951735,0.3,-0.010472574951747292,0.3142857142857143,-0.1529946923560139,0.3
9,16,70,-0.004523399590652401,0.2571428571428571,-0.02044779108966383,0.24285714285714285,-0.2607111647288333,0.2571428571428571
9,17,70,-0.003887712793648623,0.3,-0.01803844840196819,0.2857142857142857,-0.21813183164578304,0.3
9,18,70,-0.0023528053887121917,0.32857142857142857,-0.01497894672115167,0.3142857142857143,-0.16880404755053635,0.32857142857142857
9,19,70,-0.0037579448115024816,0.3,-0.01335178321530773,0.2857142857142857,-0.3406648464444103,0.3
9,20,70,-0.005033827781485765,0.2857142857142857,-0.01595274032636886,0.2571428571428571,-0.43265338682332494,0.3
9,21,70,-0.005569212902519276,0.3,-0.016200200820257374,0.2714285714285714,-0.5094980423554066,0.3
9,22,70,-0.004204816683897387,0.2857142857142857,-0.013730371789272845,0.2714285714285714,-0.5300430908914979,0.2857142857142857
9,23,70,-0.00522426186512065,0.2714285714285714,-0.013585747313349716,0.2571428571428571,-0.5813024399202856,0.2714285714285714
9,24,70,-0.005764704441884144,0.2571428571428571,-0.014205410751537723,0.2571428571428571,-0.6782725950952405,0.2571428571428571
9,25,70,-0.006254348905232673,0.2571428571428571,-0.015332643983327511,0.2571428571428571,-0.7716086433379692,0.2714285714285714
9,26,70,-0.004692615564425031,0.2857142857142857,-0.01594210479827466,0.2714285714285714,-0.8202461616069455,0.3
9,27,70,-0.0060951602632290155,0.3142857142857143,-0.012973978440796225,0.3142857142857143,-0.8059492123470007,0.3142857142857143
9,28,70,-0.005362627888295787,0.3142857142857143,-0.011792284675354923,0.3142857142857143,-0.8840058201865408,0.3142857142857143
9,29,70,-0.0058361353635001945,0.3142857142857143,-0.011639758137626983,0.3142857142857143,-0.9851618865921685,0.3142857142857143
9,30,70,-0.0057596036871229855,0.3,-0.01023655527318534,0.3,-1.0925254284876664,0.3
9,31,70,-0.004772461842553474,0.3142857142857143,-0.007359193255515072,0.3142857142857143,-2.9038851012797653,0.32857142857142857
