model,layer,type_a,type_b,cosine
Qwen/Qwen3.5-4B,16,1,1,1.0
Qwen/Qwen3.5-4B,16,1,2,0.9358630776405334
Qwen/Qwen3.5-4B,16,1,3,0.9076178669929504
Qwen/Qwen3.5-4B,16,1,4,0.9393013715744019
Qwen/Qwen3.5-4B,16,1,5,0.7818792462348938
Qwen/Qwen3.5-4B,16,1,6,0.9139782786369324
Qwen/Qwen3.5-4B,16,1,7,0.9611362814903259
Qwen/Qwen3.5-4B,16,1,8,0.948535680770874
Qwen/Qwen3.5-4B,16,1,9,0.9261986613273621
Qwen/Qwen3.5-4B,16,2,1,0.9358630776405334
Qwen/Qwen3.5-4B,16,2,2,0.9999999403953552
Qwen/Qwen3.5-4B,16,2,3,0.9815528392791748
Qwen/Qwen3.5-4B,16,2,4,0.9874130487442017
Qwen/Qwen3.5-4B,16,2,5,0.8686189651489258
Qwen/Qwen3.5-4B,16,2,6,0.9607794284820557
Qwen/Qwen3.5-4B,16,2,7,0.9291532039642334
Qwen/Qwen3.5-4B,16,2,8,0.9558252692222595
Qwen/Qwen3.5-4B,16,2,9,0.9281063079833984
Qwen/Qwen3.5-4B,16,3,1,0.9076178669929504
Qwen/Qwen3.5-4B,16,3,2,0.9815528392791748
Qwen/Qwen3.5-4B,16,3,3,1.0
Qwen/Qwen3.5-4B,16,3,4,0.988351047039032
Qwen/Qwen3.5-4B,16,3,5,0.8650885224342346
Qwen/Qwen3.5-4B,16,3,6,0.9636136293411255
Qwen/Qwen3.5-4B,16,3,7,0.9163813591003418
Qwen/Qwen3.5-4B,16,3,8,0.9550595283508301
Qwen/Qwen3.5-4B,16,3,9,0.9378789663314819
Qwen/Qwen3.5-4B,16,4,1,0.9393013715744019
Qwen/Qwen3.5-4B,16,4,2,0.9874130487442017
Qwen/Qwen3.5-4B,16,4,3,0.988351047039032
Qwen/Qwen3.5-4B,16,4,4,0.9999998807907104
Qwen/Qwen3.5-4B,16,4,5,0.8641324043273926
Qwen/Qwen3.5-4B,16,4,6,0.9651124477386475
Qwen/Qwen3.5-4B,16,4,7,0.935713529586792
Qwen/Qwen3.5-4B,16,4,8,0.965861976146698
Qwen/Qwen3.5-4B,16,4,9,0.9447474479675293
Qwen/Qwen3.5-4B,16,5,1,0.7818792462348938
Qwen/Qwen3.5-4B,16,5,2,0.8686189651489258
Qwen/Qwen3.5-4B,16,5,3,0.8650885224342346
Qwen/Qwen3.5-4B,16,5,4,0.8641324043273926
Qwen/Qwen3.5-4B,16,5,5,1.0
Qwen/Qwen3.5-4B,16,5,6,0.8737611174583435
Qwen/Qwen3.5-4B,16,5,7,0.8183170557022095
Qwen/Qwen3.5-4B,16,5,8,0.8180069327354431
Qwen/Qwen3.5-4B,16,5,9,0.81592857837677
Qwen/Qwen3.5-4B,16,6,1,0.9139782786369324
Qwen/Qwen3.5-4B,16,6,2,0.9607794284820557
Qwen/Qwen3.5-4B,16,6,3,0.9636136293411255
Qwen/Qwen3.5-4B,16,6,4,0.9651124477386475
Qwen/Qwen3.5-4B,16,6,5,0.8737611174583435
Qwen/Qwen3.5-4B,16,6,6,0.9999999403953552
Qwen/Qwen3.5-4B,16,6,7,0.9312573671340942
Qwen/Qwen3.5-4B,16,6,8,0.9469059705734253
Qwen/Qwen3.5-4B,16,6,9,0.93184894323349
Qwen/Qwen3.5-4B,16,7,1,0.9611362814903259
Qwen/Qwen3.5-4B,16,7,2,0.9291532039642334
Qwen/Qwen3.5-4B,16,7,3,0.9163813591003418
Qwen/Qwen3.5-4B,16,7,4,0.935713529586792
Qwen/Qwen3.5-4B,16,7,5,0.8183170557022095
Qwen/Qwen3.5-4B,16,7,6,0.9312573671340942
Qwen/Qwen3.5-4B,16,7,7,1.0
Qwen/Qwen3.5-4B,16,7,8,0.9577040672302246
Qwen/Qwen3.5-4B,16,7,9,0.9694585800170898
Qwen/Qwen3.5-4B,16,8,1,0.948535680770874
Qwen/Qwen3.5-4B,16,8,2,0.9558252692222595
Qwen/Qwen3.5-4B,16,8,3,0.9550595283508301
Qwen/Qwen3.5-4B,16,8,4,0.965861976146698
Qwen/Qwen3.5-4B,16,8,5,0.8180069327354431
Qwen/Qwen3.5-4B,16,8,6,0.9469059705734253
Qwen/Qwen3.5-4B,16,8,7,0.9577040672302246
Qwen/Qwen3.5-4B,16,8,8,1.0000001192092896
Qwen/Qwen3.5-4B,16,8,9,0.9771140813827515
Qwen/Qwen3.5-4B,16,9,1,0.9261986613273621
Qwen/Qwen3.5-4B,16,9,2,0.9281063079833984
Qwen/Qwen3.5-4B,16,9,3,0.9378789663314819
Qwen/Qwen3.5-4B,16,9,4,0.9447474479675293
Qwen/Qwen3.5-4B,16,9,5,0.81592857837677
Qwen/Qwen3.5-4B,16,9,6,0.93184894323349
Qwen/Qwen3.5-4B,16,9,7,0.9694585800170898
Qwen/Qwen3.5-4B,16,9,8,0.9771140813827515
Qwen/Qwen3.5-4B,16,9,9,0.9999999403953552
Qwen/Qwen3.5-9B,16,1,1,1.0000001192092896
Qwen/Qwen3.5-9B,16,1,2,0.9219033122062683
Qwen/Qwen3.5-9B,16,1,3,0.8258494138717651
Qwen/Qwen3.5-9B,16,1,4,0.8990304470062256
Qwen/Qwen3.5-9B,16,1,5,0.7024918794631958
Qwen/Qwen3.5-9B,16,1,6,0.834043025970459
Qwen/Qwen3.5-9B,16,1,7,0.9198550581932068
Qwen/Qwen3.5-9B,16,1,8,0.874940037727356
Qwen/Qwen3.5-9B,16,1,9,0.8537589311599731
Qwen/Qwen3.5-9B,16,2,1,0.9219033122062683
Qwen/Qwen3.5-9B,16,2,2,1.0
Qwen/Qwen3.5-9B,16,2,3,0.9419758915901184
Qwen/Qwen3.5-9B,16,2,4,0.9720567464828491
Qwen/Qwen3.5-9B,16,2,5,0.7885681390762329
Qwen/Qwen3.5-9B,16,2,6,0.9141898155212402
Qwen/Qwen3.5-9B,16,2,7,0.9105866551399231
Qwen/Qwen3.5-9B,16,2,8,0.912338376045227
Qwen/Qwen3.5-9B,16,2,9,0.8864045143127441
Qwen/Qwen3.5-9B,16,3,1,0.8258494138717651
Qwen/Qwen3.5-9B,16,3,2,0.9419758915901184
Qwen/Qwen3.5-9B,16,3,3,1.0
Qwen/Qwen3.5-9B,16,3,4,0.9675805568695068
Qwen/Qwen3.5-9B,16,3,5,0.7856037616729736
Qwen/Qwen3.5-9B,16,3,6,0.9221644401550293
Qwen/Qwen3.5-9B,16,3,7,0.8561779856681824
Qwen/Qwen3.5-9B,16,3,8,0.9085158109664917
Qwen/Qwen3.5-9B,16,3,9,0.9017024636268616
Qwen/Qwen3.5-9B,16,4,1,0.8990304470062256
Qwen/Qwen3.5-9B,16,4,2,0.9720567464828491
Qwen/Qwen3.5-9B,16,4,3,0.9675805568695068
Qwen/Qwen3.5-9B,16,4,4,1.0
Qwen/Qwen3.5-9B,16,4,5,0.811334490776062
Qwen/Qwen3.5-9B,16,4,6,0.9287241697311401
Qwen/Qwen3.5-9B,16,4,7,0.9028048515319824
Qwen/Qwen3.5-9B,16,4,8,0.9263689517974854
Qwen/Qwen3.5-9B,16,4,9,0.8998583555221558
Qwen/Qwen3.5-9B,16,5,1,0.7024918794631958
Qwen/Qwen3.5-9B,16,5,2,0.7885681390762329
Qwen/Qwen3.5-9B,16,5,3,0.7856037616729736
Qwen/Qwen3.5-9B,16,5,4,0.811334490776062
Qwen/Qwen3.5-9B,16,5,5,0.9999998807907104
Qwen/Qwen3.5-9B,16,5,6,0.7862040996551514
Qwen/Qwen3.5-9B,16,5,7,0.7359137535095215
Qwen/Qwen3.5-9B,16,5,8,0.7069129943847656
Qwen/Qwen3.5-9B,16,5,9,0.6845628023147583
Qwen/Qwen3.5-9B,16,6,1,0.834043025970459
Qwen/Qwen3.5-9B,16,6,2,0.9141898155212402
Qwen/Qwen3.5-9B,16,6,3,0.9221644401550293
Qwen/Qwen3.5-9B,16,6,4,0.9287241697311401
Qwen/Qwen3.5-9B,16,6,5,0.7862040996551514
Qwen/Qwen3.5-9B,16,6,6,0.9999998807907104
Qwen/Qwen3.5-9B,16,6,7,0.8941800594329834
Qwen/Qwen3.5-9B,16,6,8,0.912514328956604
Qwen/Qwen3.5-9B,16,6,9,0.8875365257263184
Qwen/Qwen3.5-9B,16,7,1,0.9198550581932068
Qwen/Qwen3.5-9B,16,7,2,0.9105866551399231
Qwen/Qwen3.5-9B,16,7,3,0.8561779856681824
Qwen/Qwen3.5-9B,16,7,4,0.9028048515319824
Qwen/Qwen3.5-9B,16,7,5,0.7359137535095215
Qwen/Qwen3.5-9B,16,7,6,0.8941800594329834
Qwen/Qwen3.5-9B,16,7,7,1.0000001192092896
Qwen/Qwen3.5-9B,16,7,8,0.9117785692214966
Qwen/Qwen3.5-9B,16,7,9,0.9259060621261597
Qwen/Qwen3.5-9B,16,8,1,0.874940037727356
Qwen/Qwen3.5-9B,16,8,2,0.912338376045227
Qwen/Qwen3.5-9B,16,8,3,0.9085158109664917
Qwen/Qwen3.5-9B,16,8,4,0.9263689517974854
Qwen/Qwen3.5-9B,16,8,5,0.7069129943847656
Qwen/Qwen3.5-9B,16,8,6,0.912514328956604
Qwen/Qwen3.5-9B,16,8,7,0.9117785692214966
Qwen/Qwen3.5-9B,16,8,8,0.9999998211860657
Qwen/Qwen3.5-9B,16,8,9,0.9550622701644897
Qwen/Qwen3.5-9B,16,9,1,0.8537589311599731
Qwen/Qwen3.5-9B,16,9,2,0.8864045143127441
Qwen/Qwen3.5-9B,16,9,3,0.9017024636268616
Qwen/Qwen3.5-9B,16,9,4,0.8998583555221558
Qwen/Qwen3.5-9B,16,9,5,0.6845628023147583
Qwen/Qwen3.5-9B,16,9,6,0.8875365257263184
Qwen/Qwen3.5-9B,16,9,7,0.9259060621261597
Qwen/Qwen3.5-9B,16,9,8,0.9550622701644897
Qwen/Qwen3.5-9B,16,9,9,1.0
google/gemma-4-E4B-it,21,1,1,0.9999998807907104
google/gemma-4-E4B-it,21,1,2,0.9582662582397461
google/gemma-4-E4B-it,21,1,3,0.9478263854980469
google/gemma-4-E4B-it,21,1,4,0.9577363729476929
google/gemma-4-E4B-it,21,1,5,0.8770116567611694
google/gemma-4-E4B-it,21,1,6,0.94284987449646
google/gemma-4-E4B-it,21,1,7,0.9617930054664612
google/gemma-4-E4B-it,21,1,8,0.9670302867889404
google/gemma-4-E4B-it,21,1,9,0.9517816305160522
google/gemma-4-E4B-it,21,2,1,0.9582662582397461
google/gemma-4-E4B-it,21,2,2,0.9999998807907104
google/gemma-4-E4B-it,21,2,3,0.9933617115020752
google/gemma-4-E4B-it,21,2,4,0.9934343099594116
google/gemma-4-E4B-it,21,2,5,0.9299099445343018
google/gemma-4-E4B-it,21,2,6,0.970272421836853
google/gemma-4-E4B-it,21,2,7,0.9428678154945374
google/gemma-4-E4B-it,21,2,8,0.9647951126098633
google/gemma-4-E4B-it,21,2,9,0.9558126330375671
google/gemma-4-E4B-it,21,3,1,0.9478263854980469
google/gemma-4-E4B-it,21,3,2,0.9933617115020752
google/gemma-4-E4B-it,21,3,3,0.9999998807907104
google/gemma-4-E4B-it,21,3,4,0.992195725440979
google/gemma-4-E4B-it,21,3,5,0.9293237924575806
google/gemma-4-E4B-it,21,3,6,0.9714351296424866
google/gemma-4-E4B-it,21,3,7,0.9380086660385132
google/gemma-4-E4B-it,21,3,8,0.9653851985931396
google/gemma-4-E4B-it,21,3,9,0.9582526683807373
google/gemma-4-E4B-it,21,4,1,0.9577363729476929
google/gemma-4-E4B-it,21,4,2,0.9934343099594116
google/gemma-4-E4B-it,21,4,3,0.992195725440979
google/gemma-4-E4B-it,21,4,4,1.0
google/gemma-4-E4B-it,21,4,5,0.9324169158935547
google/gemma-4-E4B-it,21,4,6,0.972734808921814
google/gemma-4-E4B-it,21,4,7,0.9442471265792847
google/gemma-4-E4B-it,21,4,8,0.9694169759750366
google/gemma-4-E4B-it,21,4,9,0.9565842747688293
google/gemma-4-E4B-it,21,5,1,0.8770116567611694
google/gemma-4-E4B-it,21,5,2,0.9299099445343018
google/gemma-4-E4B-it,21,5,3,0.9293237924575806
google/gemma-4-E4B-it,21,5,4,0.9324169158935547
google/gemma-4-E4B-it,21,5,5,0.9999998807907104
google/gemma-4-E4B-it,21,5,6,0.9329533576965332
google/gemma-4-E4B-it,21,5,7,0.8838685750961304
google/gemma-4-E4B-it,21,5,8,0.8851485252380371
google/gemma-4-E4B-it,21,5,9,0.8807330131530762
google/gemma-4-E4B-it,21,6,1,0.94284987449646
google/gemma-4-E4B-it,21,6,2,0.970272421836853
google/gemma-4-E4B-it,21,6,3,0.9714351296424866
google/gemma-4-E4B-it,21,6,4,0.972734808921814
google/gemma-4-E4B-it,21,6,5,0.9329533576965332
google/gemma-4-E4B-it,21,6,6,1.0
google/gemma-4-E4B-it,21,6,7,0.954116702079773
google/gemma-4-E4B-it,21,6,8,0.9636216163635254
google/gemma-4-E4B-it,21,6,9,0.9581916928291321
google/gemma-4-E4B-it,21,7,1,0.9617930054664612
google/gemma-4-E4B-it,21,7,2,0.9428678154945374
google/gemma-4-E4B-it,21,7,3,0.9380086660385132
google/gemma-4-E4B-it,21,7,4,0.9442471265792847
google/gemma-4-E4B-it,21,7,5,0.8838685750961304
google/gemma-4-E4B-it,21,7,6,0.954116702079773
google/gemma-4-E4B-it,21,7,7,1.0000001192092896
google/gemma-4-E4B-it,21,7,8,0.9651825428009033
google/gemma-4-E4B-it,21,7,9,0.9763278961181641
google/gemma-4-E4B-it,21,8,1,0.9670302867889404
google/gemma-4-E4B-it,21,8,2,0.9647951126098633
google/gemma-4-E4B-it,21,8,3,0.9653851985931396
google/gemma-4-E4B-it,21,8,4,0.9694169759750366
google/gemma-4-E4B-it,21,8,5,0.8851485252380371
google/gemma-4-E4B-it,21,8,6,0.9636216163635254
google/gemma-4-E4B-it,21,8,7,0.9651825428009033
google/gemma-4-E4B-it,21,8,8,0.9999998211860657
google/gemma-4-E4B-it,21,8,9,0.9785993695259094
google/gemma-4-E4B-it,21,9,1,0.9517816305160522
google/gemma-4-E4B-it,21,9,2,0.9558126330375671
google/gemma-4-E4B-it,21,9,3,0.9582526683807373
google/gemma-4-E4B-it,21,9,4,0.9565842747688293
google/gemma-4-E4B-it,21,9,5,0.8807330131530762
google/gemma-4-E4B-it,21,9,6,0.9581916928291321
google/gemma-4-E4B-it,21,9,7,0.9763278961181641
google/gemma-4-E4B-it,21,9,8,0.9785993695259094
google/gemma-4-E4B-it,21,9,9,0.9999999403953552
